name,abbreviation,population,capital
Alabama,AL,5074296,Montgomery
Alaska,AK,733406,Juneau
Arizona,AZ,7378494,Phoenix
Arkansas,AR,3045637,Little Rock
California,CA,38821755,Sacramento
Colorado,CO,5916789,Denver
Connecticut,CT,3608298,Hartford
Delaware,DE,1018396,Dover
Florida,FL,22377487,Tallahassee
Georgia,GA,11021613,Atlanta
Hawaii,HI,1441553,Honolulu
Idaho,ID,1981540,Boise
Illinois,IL,12471484,Springfield
Indiana,IN,6919915,Indianapolis
Iowa,IA,3200517,Des Moines
Kansas,KS,2937880,Topeka
Kentucky,KY,4541010,Frankfort
Louisiana,LA,4547902,Baton Rouge
Maine,ME,1395282,Augusta
Maryland,MD,6325636,Annapolis
Massachusetts,MA,6994405,Boston
Michigan,MI,10045029,Lansing
Minnesota,MN,5788433,Saint Paul
Mississippi,MS,2897338,Jackson
Missouri,MO,6212212,Jefferson City
Montana,MT,1122867,Helena
Nebraska,NE,1977306,Lincoln
Nevada,NV,3285290,Carson City
New Hampshire,NH,1395237,Concord
New Jersey,NJ,9316205,Trenton
New Mexico,NM,2114371,Santa Fe
New York,NY,19677151,Albany
North Carolina,NC,10813463,Raleigh
North Dakota,ND,814180,Bismarck
Ohio,OH,11802906,Columbus
Oklahoma,OK,4034467,Oklahoma City
Oregon,OR,4237255,Salem
Pennsylvania,PA,12830844,Harrisburg
Rhode Island,RI,1091580,Providence
South Carolina,SC,5375333,Columbia
South Dakota,SD,922531,Pierre
Tennessee,TN,7199899,Nashville
Texas,TX,30407372,Austin
Utah,UT,3424192,Salt Lake City
Vermont,VT,647156,Montpelier
Virginia,VA,8930336,Richmond
Washington,WA,7944382,Olympia
West Virginia,WV,1757087,Charleston
Wisconsin,WI,5892539,Madison
Wyoming,WY,586485,Cheyenne
